AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation
17,F,Guatemala,5/21/2018,5/22/2018,5/22/2018,El Paso  (ELP),Southwest Key Casita Del Valle,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
6,F,Guatemala,5/21/2018,5/22/2018,5/24/2018,El Paso  (ELP),BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
5,M,Guatemala,5/21/2018,5/22/2018,5/24/2018,El Paso  (ELP),Southwest Key Campbell,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
8,M,Guatemala,5/21/2018,5/23/2018,5/26/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
5,M,Guatemala,5/21/2018,5/23/2018,5/26/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
16,M,Honduras,5/21/2018,5/22/2018,5/24/2018,El Paso  (ELP),Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
13,F,Honduras,5/21/2018,5/22/2018,5/24/2018,El Paso  (ELP),Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
10,F,Honduras,5/22/2018,5/23/2018,5/25/2018,El Paso  (ELP),Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
7,F,Honduras,5/22/2018,5/23/2018,5/25/2018,El Paso  (ELP),Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
5,F,Honduras,5/22/2018,5/23/2018,5/26/2018,El Paso  (ELP),Southwest Key Glendale,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
17,F,Guatemala,5/22/2018,5/23/2018,5/25/2018,El Paso  (ELP),Heartland Intl Childrens RC,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
8,M,El Salvador,5/22/2018,5/24/2018,5/27/2018,El Paso  (ELP),Childrens Home of Kingston,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
10,M,El Salvador,5/22/2018,5/23/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
8,M,Honduras,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
16,M,Guatemala,5/22/2018,5/23/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,7/6/2018,Zero Tolerance Policy
16,M,Guatemala,5/22/2018,5/24/2018,5/27/2018,El Paso  (ELP),Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy
16,M,Guatemala,5/22/2018,5/24/2018,5/27/2018,El Paso  (ELP),Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,6/29/2018,Zero Tolerance Policy
13,M,El Salvador,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),LSSS New Hope,Discharged Under other approp circumstances,DISCHARGED,7/7/2018,Zero Tolerance Policy
12,M,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
17,F,Guatemala,5/22/2018,5/25/2018,5/27/2018,El Paso  (ELP),Southwest Key Casa Houston,Discharged Under other approp circumstances,DISCHARGED,7/1/2018,Zero Tolerance Policy
11,M,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Las Palmas,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
9,M,Honduras,5/22/2018,5/25/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/6/2018,Zero Tolerance Policy
13,F,El Salvador,5/22/2018,5/23/2018,5/25/2018,El Paso  (ELP),Heartland Intl Childrens RC,Discharged Under other approp circumstances,DISCHARGED,7/5/2018,Zero Tolerance Policy
14,F,El Salvador,5/22/2018,5/23/2018,5/26/2018,El Paso  (ELP),Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
11,M,Guatemala,5/26/2018,5/26/2018,5/28/2018,El Paso  (ELP),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/16/2018,Zero Tolerance Policy
14,M,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
7,F,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
15,M,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,9/7/2018,Zero Tolerance Policy
8,M,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),BCFS Raymondville,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
18,M,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,9/19/2018,Zero Tolerance Policy
15,M,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,3/8/2019,Zero Tolerance Policy
16,F,Guatemala,5/22/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,1/5/2019,Zero Tolerance Policy
6,M,Honduras,5/23/2018,5/27/2018,5/30/2018,El Paso  (ELP),Catholic Charities Boystown,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
6,M,Honduras,5/23/2018,5/27/2018,5/30/2018,El Paso  (ELP),Catholic Charities Boystown,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
8,F,Honduras,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,9/27/2018,Zero Tolerance Policy
8,M,Honduras,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),David and Margaret,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
16,F,Guatemala,5/23/2018,5/25/2018,5/28/2018,El Paso  (ELP),Homestead,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
13,M,Guatemala,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),Holy Family Institute,Discharged Under other approp circumstances,DISCHARGED,7/5/2018,Zero Tolerance Policy
12,M,Honduras,5/23/2018,5/25/2018,5/26/2018,El Paso  (ELP),Southwest Key Canutillo,Reunited with Sep Parent,DISCHARGED,7/27/2018,Zero Tolerance Policy
14,M,Guatemala,5/23/2018,5/25/2018,5/26/2018,El Paso  (ELP),MercyFirst,Discharged Under other approp circumstances,DISCHARGED,9/29/2018,Zero Tolerance Policy
14,M,Guatemala,5/23/2018,5/26/2018,5/28/2018,El Paso  (ELP),Southwest Key Conroe,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
6,M,Guatemala,5/23/2018,5/28/2018,5/29/2018,El Paso  (ELP),David and Margaret,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy
9,M,Guatemala,5/23/2018,5/28/2018,5/29/2018,El Paso  (ELP),David and Margaret,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy
11,F,Guatemala,5/23/2018,5/28/2018,5/29/2018,El Paso  (ELP),David and Margaret,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy
13,M,Belize,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),Heartland Intl Childrens RC,Reunited with Sep Parent,DISCHARGED,8/9/2018,Zero Tolerance Policy
15,M,Guatemala,5/23/2018,5/25/2018,5/26/2018,El Paso  (ELP),MercyFirst,Discharged Under other approp circumstances,DISCHARGED,10/2/2018,Zero Tolerance Policy
6,M,Guatemala,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),David and Margaret,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
17,M,Guatemala,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),Bokenkamp,Discharged Under other approp circumstances,DISCHARGED,9/29/2018,Zero Tolerance Policy
5,M,Guatemala,5/23/2018,5/26/2018,5/27/2018,El Paso  (ELP),Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
7,M,Honduras,5/23/2018,5/25/2018,5/25/2018,El Paso  (ELP),Southwest Key Canutillo,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
10,M,Honduras,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
5,M,Honduras,5/23/2018,5/25/2018,5/26/2018,El Paso  (ELP),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,7/1/2018,Zero Tolerance Policy
15,F,Honduras,5/23/2018,5/25/2018,5/28/2018,El Paso  (ELP),Catholic Charities Boystown,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
7,F,Honduras,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),David and Margaret,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
11,M,Honduras,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
11,F,Guatemala,5/18/2018,5/21/2018,5/22/2018,El Paso  (ELP),Heartland Intl Childrens RC,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy
6,F,Guatemala,5/18/2018,5/19/2018,5/21/2018,El Paso  (ELP),Abbott House Shelter,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
5,F,Guatemala,5/18/2018,5/21/2018,5/21/2018,El Paso  (ELP),Upbring,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
11,M,Guatemala,5/18/2018,5/20/2018,5/22/2018,El Paso  (ELP),Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
16,F,El Salvador,5/18/2018,5/20/2018,5/22/2018,El Paso  (ELP),Southwest Key Nueva Esperanza,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
10,F,Guatemala,5/18/2018,5/20/2018,5/22/2018,El Paso  (ELP),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
16,M,Honduras,5/18/2018,5/20/2018,5/22/2018,El Paso  (ELP),Southwest Key Conroe,Discharged Under other approp circumstances,DISCHARGED,9/14/2018,Zero Tolerance Policy
5,M,Honduras,5/18/2018,5/21/2018,5/23/2018,El Paso  (ELP),Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
7,M,Honduras,5/18/2018,5/21/2018,5/23/2018,El Paso  (ELP),Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
7,M,Honduras,5/18/2018,5/21/2018,5/22/2018,El Paso  (ELP),Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/6/2018,Zero Tolerance Policy
6,M,Honduras,5/19/2018,5/21/2018,5/22/2018,El Paso  (ELP),Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
11,M,Honduras,5/19/2018,5/23/2018,5/23/2018,El Paso  (ELP),Board of Child Care Shelter,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
9,F,Honduras,5/18/2018,5/19/2018,5/21/2018,El Paso  (ELP),Abbott House Shelter,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
12,F,Honduras,5/18/2018,5/19/2018,5/21/2018,El Paso  (ELP),Abbott House Shelter,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
9,M,Honduras,5/18/2018,5/19/2018,5/20/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
17,M,Brazil,6/3/2018,6/9/2018,6/11/2018,El Paso  (ELP),Heartland Intl Childrens RC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
7,M,Honduras,5/19/2018,5/21/2018,5/22/2018,El Paso  (ELP),Southwest Key Casa Phoenix,Discharged Under other approp circumstances,DISCHARGED,7/8/2018,Zero Tolerance Policy
16,M,Guatemala,5/15/2018,5/16/2018,5/17/2018,El Paso  (ELP),Southwest Key Canutillo,Discharged Under other approp circumstances,DISCHARGED,8/6/2018,Zero Tolerance Policy
9,F,Guatemala,5/16/2018,5/18/2018,5/19/2018,El Paso  (ELP),BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
17,M,Guatemala,5/16/2018,5/17/2018,5/18/2018,El Paso  (ELP),Southwest Key Casita Del Valle,Reunited with Sep Parent,DISCHARGED,8/22/2018,Zero Tolerance Policy
5,M,Honduras,5/16/2018,5/17/2018,5/19/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
7,F,El Salvador,5/16/2018,5/18/2018,5/19/2018,El Paso  (ELP),KidsPeace,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
6,F,Honduras,5/16/2018,5/18/2018,5/19/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
13,M,Honduras,5/16/2018,5/18/2018,5/18/2018,El Paso  (ELP),Southwest Key Canutillo,Reunited with Sep Parent,DISCHARGED,8/14/2018,Zero Tolerance Policy
16,F,Honduras,5/17/2018,5/18/2018,5/18/2018,El Paso  (ELP),Southwest Key Canutillo,Discharged Under other approp circumstances,DISCHARGED,9/7/2018,Zero Tolerance Policy
10,F,Honduras,5/17/2018,5/18/2018,5/19/2018,El Paso  (ELP),Southwest Key Conroe,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
13,F,Honduras,5/17/2018,5/18/2018,5/18/2018,El Paso  (ELP),Southwest Key Casita Del Valle,Discharged Under other approp circumstances,DISCHARGED,9/24/2018,Zero Tolerance Policy
8,M,Guatemala,5/18/2018,5/19/2018,5/21/2018,El Paso  (ELP),Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
10,M,Guatemala,5/18/2018,5/18/2018,5/19/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/19/2018,Zero Tolerance Policy
16,M,Guatemala,5/18/2018,5/19/2018,5/19/2018,El Paso  (ELP),Southwest Key Casa Franklin,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy
7,M,Guatemala,5/15/2018,5/16/2018,5/18/2018,El Paso  (ELP),Bokenkamp TFC,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
11,F,Guatemala,5/16/2018,5/16/2018,5/18/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
11,F,Guatemala,5/15/2018,5/17/2018,5/18/2018,El Paso  (ELP),Southwest Key Conroe,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
16,M,Guatemala,5/15/2018,5/17/2018,5/17/2018,El Paso  (ELP),Southwest Key Canutillo,Discharged Under other approp circumstances,DISCHARGED,8/31/2018,Zero Tolerance Policy
7,M,Honduras,5/14/2018,5/16/2018,5/16/2018,El Paso  (ELP),Southwest Key Canutillo,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
14,M,Guatemala,5/15/2018,5/16/2018,5/18/2018,El Paso  (ELP),Homestead,Discharged Under other approp circumstances,DISCHARGED,10/15/2018,Zero Tolerance Policy
16,M,Guatemala,5/15/2018,5/16/2018,5/16/2018,El Paso  (ELP),Southwest Key Canutillo,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy
10,F,Guatemala,5/15/2018,5/17/2018,5/18/2018,El Paso  (ELP),Southwest Key Conroe,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy
8,M,Brazil,5/29/2018,6/3/2018,6/5/2018,El Paso  (ELP),Heartland Guadalupe,Reunited with Sep Parent,DISCHARGED,6/28/2018,Zero Tolerance Policy
17,F,Guatemala,5/31/2018,6/2/2018,6/4/2018,El Paso  (ELP),Homestead,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
8,F,Brazil,5/31/2018,6/3/2018,6/5/2018,El Paso  (ELP),Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,7/4/2018,Zero Tolerance Policy
8,F,Guatemala,5/31/2018,6/2/2018,6/3/2018,El Paso  (ELP),Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,6/19/2018,Zero Tolerance Policy
5,F,Guatemala,5/31/2018,6/5/2018,6/6/2018,El Paso  (ELP),Southwest Key Campbell,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
8,M,Guatemala,5/31/2018,6/2/2018,6/5/2018,El Paso  (ELP),BCFS Chavaneaux,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
7,M,Guatemala,6/1/2018,6/6/2018,6/7/2018,El Paso  (ELP),Upbring,Reunited with Sep Parent,DISCHARGED,6/30/2018,Zero Tolerance Policy
6,M,Guatemala,6/1/2018,6/3/2018,6/5/2018,El Paso  (ELP),Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
17,F,Guatemala,6/2/2018,6/8/2018,6/9/2018,El Paso  (ELP),Southwest Key Casita Del Valle,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
5,F,Guatemala,6/5/2018,6/9/2018,6/11/2018,El Paso  (ELP),Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,10/5/2018,Zero Tolerance Policy
14,F,Brazil,6/7/2018,6/11/2018,6/13/2018,El Paso  (ELP),Heartland Intl Childrens RC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
12,M,Guatemala,6/6/2018,6/9/2018,6/11/2018,El Paso  (ELP),BCFS Harlingen,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
17,M,Brazil,6/7/2018,6/11/2018,6/13/2018,El Paso  (ELP),Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,11/20/2018,Zero Tolerance Policy
16,M,Guatemala,6/8/2018,1/8/2019,1/8/2019,El Paso  (ELP),Southwest Key Casa Quetzal,Discharged Under other approp circumstances,DISCHARGED,2/17/2019,Zero Tolerance Policy
17,F,El Salvador,6/10/2018,6/12/2018,6/14/2018,El Paso  (ELP),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
14,M,Brazil,6/11/2018,6/13/2018,6/14/2018,El Paso  (ELP),Heartland Guadalupe,Reunited with Sep Parent,DISCHARGED,8/4/2018,Zero Tolerance Policy
14,M,Guatemala,6/15/2018,6/16/2018,6/17/2018,El Paso  (ELP),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,12/9/2018,Zero Tolerance Policy
17,M,Guatemala,6/15/2018,6/16/2018,6/17/2018,El Paso  (ELP),BCFS Harlingen,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
16,M,Guatemala,6/15/2018,6/16/2018,6/17/2018,El Paso  (ELP),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,1/16/2019,Zero Tolerance Policy
4,M,Guatemala,6/15/2018,6/18/2018,6/20/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
12,M,Guatemala,6/15/2018,6/16/2018,6/20/2018,El Paso  (ELP),BCFS Harlingen,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
9,F,Guatemala,6/16/2018,6/20/2018,6/21/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,10/16/2018,Zero Tolerance Policy
16,M,Guatemala,6/17/2018,6/19/2018,6/20/2018,El Paso  (ELP),Bokenkamp,Discharged Under other approp circumstances,DISCHARGED,11/11/2018,Zero Tolerance Policy
12,F,Guatemala,6/17/2018,6/20/2018,6/22/2018,El Paso  (ELP),Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,7/28/2018,Zero Tolerance Policy
4,F,Guatemala,6/17/2018,6/20/2018,6/21/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/6/2018,Zero Tolerance Policy
14,M,Guatemala,6/17/2018,6/19/2018,6/21/2018,El Paso  (ELP),Rite of Passage ‐ Canyon,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
17,M,Guatemala,6/17/2018,6/19/2018,6/20/2018,El Paso  (ELP),Bokenkamp,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy
17,F,Honduras,6/19/2018,6/23/2018,6/25/2018,El Paso  (ELP),St. PJs Childrens Home,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
16,M,Honduras,6/19/2018,6/23/2018,6/25/2018,El Paso  (ELP),MercyFirst,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
9,M,Honduras,5/23/2018,5/24/2018,5/26/2018,El Paso  (ELP),BCFS Raymondville,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
16,F,Honduras,5/23/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/16/2018,Zero Tolerance Policy
14,F,Honduras,5/23/2018,5/25/2018,5/26/2018,El Paso  (ELP),Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,6/29/2018,Zero Tolerance Policy
5,M,Honduras,5/23/2018,5/25/2018,5/26/2018,El Paso  (ELP),Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,6/29/2018,Zero Tolerance Policy
11,F,Guatemala,5/23/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/12/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
9,F,Guatemala,5/23/2018,5/25/2018,5/27/2018,El Paso  (ELP),BCFS Raymondville,Reunited with Sep Parent,DISCHARGED,7/16/2018,Zero Tolerance Policy
15,M,Guatemala,5/23/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
17,M,Guatemala,5/23/2018,5/24/2018,5/26/2018,El Paso  (ELP),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
16,M,Guatemala,5/24/2018,5/25/2018,5/27/2018,El Paso  (ELP),Bokenkamp,Discharged Under other approp circumstances,DISCHARGED,1/11/2019,Zero Tolerance Policy
6,M,Guatemala,5/24/2018,5/25/2018,5/26/2018,El Paso  (ELP),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,1/26/2019,Zero Tolerance Policy
5,F,El Salvador,5/24/2018,5/25/2018,5/26/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
16,M,Honduras,5/24/2018,5/25/2018,5/25/2018,El Paso  (ELP),Southwest Key Canutillo,Discharged Under other approp circumstances,DISCHARGED,9/21/2018,Zero Tolerance Policy
9,F,Honduras,5/24/2018,5/25/2018,5/26/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
4,M,Guatemala,5/25/2018,5/28/2018,5/30/2018,El Paso  (ELP),Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy
17,M,Guatemala,5/25/2018,5/26/2018,5/28/2018,El Paso  (ELP),Southwest Key Casa Padre,Still in Care,ADMITTED,,Zero Tolerance Policy
13,F,Guatemala,5/25/2018,5/25/2018,5/28/2018,El Paso  (ELP),Homestead,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
17,M,Guatemala,5/25/2018,5/26/2018,5/28/2018,El Paso  (ELP),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/22/2018,Zero Tolerance Policy
9,M,Guatemala,5/25/2018,5/26/2018,5/27/2018,El Paso  (ELP),Crittenton Shelter,Reunited with Sep Parent,DISCHARGED,7/27/2018,Zero Tolerance Policy
6,M,Guatemala,5/29/2018,6/1/2018,6/3/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/14/2018,Zero Tolerance Policy
16,M,Guatemala,5/29/2018,6/1/2018,6/3/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/13/2018,Zero Tolerance Policy
16,F,Guatemala,5/29/2018,5/31/2018,6/2/2018,El Paso  (ELP),Homestead,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
14,M,Honduras,5/29/2018,5/31/2018,6/2/2018,El Paso  (ELP),MercyFirst,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
10,M,Honduras,5/29/2018,5/31/2018,6/1/2018,El Paso  (ELP),BCFS Baytown,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
6,F,Honduras,5/29/2018,6/1/2018,6/3/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
12,M,Guatemala,5/30/2018,6/1/2018,6/3/2018,El Paso  (ELP),BCFS Baytown,Discharged Under other approp circumstances,DISCHARGED,1/9/2019,Zero Tolerance Policy
3,F,Guatemala,5/30/2018,6/2/2018,6/4/2018,El Paso  (ELP),Southwest Key Campbell,Reunited with Sep Parent,DISCHARGED,8/30/2018,Zero Tolerance Policy
11,M,Guatemala,5/30/2018,6/2/2018,6/4/2018,El Paso  (ELP),BCFS Baytown,Reunited with Sep Parent,DISCHARGED,10/6/2018,Zero Tolerance Policy
12,M,Guatemala,5/30/2018,6/2/2018,6/5/2018,El Paso  (ELP),Southwest Key San Diego,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
8,F,Guatemala,5/30/2018,6/2/2018,6/5/2018,El Paso  (ELP),Southwest Key San Diego,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
